position_0_to_1,1782605969288_blow_normal_event1_2.100s_normalized_db,1782605969288_blow_normal_event2_3.560s_normalized_db,1782605969288_blow_normal_event3_4.750s_normalized_db,1782605956239_blow_close_event1_0.920s_normalized_db,1782605956239_blow_close_event2_2.640s_normalized_db,1782605956239_blow_close_event3_4.290s_normalized_db,1782605976563_blow_normal_event1_0.760s_normalized_db,1782605976563_blow_normal_event2_1.880s_normalized_db,1782605976563_blow_normal_event3_3.130s_normalized_db,1658418658392_blow_close_event1_0.950s_normalized_db,1658418658392_blow_close_event2_2.220s_normalized_db,1658418658392_blow_close_event3_3.550s_normalized_db,1658418658392_blow_close_event4_4.900s_normalized_db,1658418658392_blow_close_event5_6.400s_normalized_db,1782608588636_blow_normal_event1_3.340s_normalized_db,1782608588636_blow_normal_event2_4.420s_normalized_db,1782608588636_blow_normal_event3_5.540s_normalized_db,1782608596442_blow_normal_event1_1.300s_normalized_db,1782608600090_blow_normal_event1_1.440s_normalized_db,1782608602965_blow_normal_event1_1.010s_normalized_db,1782608605517_blow_normal_event1_1.460s_normalized_db,1782608608865_blow_normal_event1_1.090s_normalized_db,1782608611657_blow_normal_event1_1.070s_normalized_db,1782608614338_blow_normal_event1_0.970s_normalized_db,1782608616573_blow_normal_event1_1.140s_normalized_db,1782608618931_blow_normal_event1_0.940s_normalized_db,1782608645573_blow_normal_event1_1.080s_normalized_db,1782608649116_blow_normal_event1_0.860s_normalized_db,1782608657180_blow_normal_event1_1.130s_normalized_db,1782608662652_blow_normal_event1_1.150s_normalized_db,1782608664944_blow_normal_event1_0.970s_normalized_db,1782608667017_blow_normal_event1_1.030s_normalized_db,1782608668892_blow_normal_event1_1.050s_normalized_db,1782608670794_blow_normal_event1_0.950s_normalized_db,1782608672740_blow_normal_event1_1.010s_normalized_db,1782608677735_blow_normal_event1_0.840s_normalized_db,1782608679544_blow_normal_event1_0.790s_normalized_db
0.460317,-5.154817,-0.354164,-10.019001,-0.563791,-1.737874,-0.190298,-3.292368,-2.333283,-1.780142,-4.616946,-2.640602,-0.715912,-3.065541,0.000000,-2.662243,-1.248738,-1.728814,-5.151530,-3.088503,-4.592848,-1.747631,-0.270042,-0.242654,-7.391660,-0.742412,-6.793684,-2.778682,-6.072469,-2.016487,-1.114755,-9.047526,-3.162416,-7.964722,0.000000,-0.710912,-2.103350,-3.471507
0.476190,-3.466766,0.000000,-10.724044,-3.326183,-1.434046,-0.037373,-1.856061,-4.084361,-0.281058,-3.981006,-6.348888,-1.438845,-3.555140,-0.066399,-2.734774,-1.493151,-1.193175,-3.175711,0.000000,-3.835918,-1.823436,-1.349891,-0.005287,-7.981568,0.000000,-6.725665,0.000000,-5.918605,-3.554816,-1.282894,-8.876871,-3.376235,-11.566338,-1.027704,-6.105231,-0.383824,-1.209760
0.492063,-2.328667,-0.780230,-10.898986,-1.406289,-0.704309,0.000000,-1.071482,-3.450583,-0.571681,-6.040900,-5.302482,-1.433675,-4.041205,-0.113835,-4.992761,-1.110501,-0.085507,-2.250964,-1.232459,0.000000,0.000000,-1.356216,-1.315778,-8.595189,-0.931774,-6.127568,-0.523861,-2.469196,-4.843983,-1.519069,-9.984282,-5.525096,-14.625323,-4.032389,-7.934700,0.000000,-0.578182
0.507937,-1.236547,-4.070732,-10.673781,-0.685017,-1.324421,-1.454339,-1.505030,-3.279215,-2.050686,-7.225097,-5.288106,0.000000,-3.619629,-3.211830,-3.201167,-0.009104,0.000000,-2.137967,-3.243001,-0.003902,-1.736208,-0.907735,-0.361766,-9.591120,-0.120849,-7.339471,-0.547476,-1.472381,-3.389307,-3.118442,-13.002771,-5.108744,-9.841565,-4.756570,-7.304470,-0.453777,-1.148037
0.523810,0.000000,-7.404888,-10.416538,-0.000624,-1.585595,-1.661418,-1.894153,-4.240569,0.000000,-6.815969,-4.569027,-0.150194,-3.516714,-3.303557,-3.151104,0.000000,-0.953323,-3.302745,-3.942634,-0.789821,-2.497738,-1.078047,0.000000,-14.786734,-0.869580,-6.000794,-4.711985,0.000000,0.000000,-2.392820,-11.118442,-2.566851,-6.904749,-6.397232,-8.235087,-0.807536,-3.283731
0.539683,-0.355914,-7.223011,-12.454143,-0.191231,0.000000,-0.069751,-2.948760,-2.890469,-1.205208,-6.198872,-3.314497,-1.134191,-2.913585,-3.792387,-3.997158,-0.539764,-0.992753,-7.472403,-2.106159,-4.185068,-6.130160,-1.211468,-0.452965,-13.508441,-2.318077,-3.094276,-6.510009,-1.425119,-0.168781,-1.495778,-6.060066,-2.974665,-4.994274,-6.827902,-8.406419,-6.449538,-5.523082
0.555556,-2.593298,-7.079418,-12.517935,-2.856042,-0.867563,-0.324351,-8.005229,-2.383033,-1.753381,-6.703614,-2.512718,-1.211509,-1.337349,-3.878626,-1.432070,-2.582665,-3.660700,-5.747369,-2.963932,-4.028524,-7.282833,-2.466150,-0.858995,-14.071431,-2.991861,-1.766169,-7.152990,-1.729657,-0.234948,-1.695319,-4.898527,-2.946191,-3.192455,-8.145536,-9.375441,-14.866810,-8.395432
0.571429,-6.304641,-8.779456,-14.221831,-5.768743,-2.431029,-0.206224,-6.565689,-1.345046,-2.277381,-8.128807,-2.763035,-1.965926,-0.708738,-3.784895,-1.666105,-4.013616,-6.007727,-4.847218,-5.888994,-4.525234,-4.797606,-1.927580,-2.696507,-12.831574,-2.225212,0.000000,-9.611173,-4.359933,-0.862963,-1.491818,-4.740943,-5.088476,-1.386604,-11.626492,-10.296726,-17.193216,-8.207038
0.587302,-7.205944,-7.700099,-14.961288,-6.836772,-2.868516,-1.163228,-3.226625,-1.055010,-8.481276,-12.131922,-2.884517,-5.209945,-0.787135,-3.298316,-1.433629,-3.405113,-6.253234,0.000000,-6.355568,-5.522615,-4.083146,-2.034804,-3.447303,-14.922598,-2.845049,-1.285713,-9.387559,-5.242618,-4.552500,-1.402847,-4.651674,-6.003669,-1.622756,-10.559824,-9.371211,-13.274247,-10.532852
0.603175,-9.208092,-7.741931,-14.176534,-6.619809,-8.660356,-4.099420,-3.372357,-0.897865,-7.829164,-10.840041,-3.857380,-5.035424,-1.953136,-3.008363,-1.827467,-4.581699,-9.125141,-0.562400,-6.840814,-7.471073,-3.597540,-1.722169,-3.653837,-16.760705,-1.653296,-1.820087,-7.470841,-6.955423,-5.000780,-2.509143,-9.119521,-7.567651,-2.294022,-10.916144,-7.176875,-11.283617,-9.850817
0.619048,-7.944826,-7.319106,-13.210650,-6.367370,-7.635291,-3.785636,-2.981642,-3.001414,-6.888587,-9.055710,-7.019384,-4.506762,-2.133754,-3.307637,-4.798580,-2.658350,-9.031887,-0.667497,-9.724732,-7.061945,-3.499816,-1.990360,-3.788436,-16.388558,-1.399429,-7.107679,-6.971893,-9.572224,-8.321920,-4.251067,-10.793466,-13.928033,-2.675480,-11.112713,-7.323916,-11.251384,-10.485473
0.634921,-8.658097,-8.423181,-11.485745,-6.580153,-6.045853,-5.228106,-3.528104,-4.594544,-7.336497,-7.700504,-6.968083,-4.225793,-1.650245,-3.863147,-7.345643,-2.979721,-7.590912,-4.269644,-9.171850,-7.528566,-1.962462,-3.374897,-2.883313,-17.672345,-2.572806,-4.994382,-7.855395,-4.097306,-8.093154,-6.050611,-12.685223,-17.411307,-6.197411,-12.775501,-7.961407,-11.597132,-10.876057
0.650794,-8.970849,-10.211161,-11.856886,-8.812351,-6.119843,-6.266822,-8.535258,-7.997386,-7.424231,-8.365936,-8.043993,-2.921121,-0.189508,-3.393747,-5.848261,-4.420477,-6.972613,-4.572178,-6.971066,-8.534873,-2.503547,-3.629214,-1.440060,-17.141111,-4.906757,-4.210501,-8.650830,-3.008803,-7.828508,-10.272106,-13.173608,-17.657106,-7.491943,-11.889116,-9.174156,-14.448871,-14.409263
0.666667,-12.886192,-13.483345,-12.642195,-10.133214,-6.138192,-6.637736,-9.772594,-10.371127,-8.550487,-6.997760,-2.471857,-2.606188,0.000000,-3.443573,-6.790820,-8.532181,-6.992826,-5.598867,-7.776202,-6.708447,-1.982653,-5.996067,-1.233499,-17.015971,-5.712930,-4.626170,-7.089379,-1.443342,-9.307228,-10.494218,-13.915618,-20.270084,-7.743248,-11.305759,-16.401870,-21.714615,-13.513892
0.682540,-14.401232,-9.877916,-13.638068,-11.032351,-9.584248,-8.149962,-8.797368,-7.672066,-13.251748,-6.056835,-1.946282,-3.228266,-0.221790,-3.817404,-6.782938,-9.644177,-6.095780,-10.823332,-10.693327,-5.055917,-3.245349,-7.693146,-1.639508,-19.042595,-11.501157,-5.334170,-6.016536,-1.283167,-9.630676,-10.579868,-14.353945,-18.952131,-12.999960,-11.052144,-17.582497,-24.144421,-12.881919
0.698413,-16.968624,-10.563916,-14.998687,-13.040225,-11.928693,-8.725431,-7.962285,-6.618692,-13.165398,-6.328785,-1.187883,-3.114127,-0.321586,-5.017221,-9.173736,-9.476828,-7.896318,-12.802063,-14.216751,-4.767278,-6.411145,-13.374977,-1.835482,-18.458580,-11.277759,-12.762606,-5.688354,-2.939230,-8.089466,-10.675553,-16.011570,-20.551725,-15.529810,-13.328192,-20.392611,-23.160249,-11.259916
0.714286,-14.371787,-11.670901,-19.085531,-15.147692,-12.030195,-9.039788,-5.254126,-5.958749,-12.497497,-7.395608,0.000000,-4.607646,-1.587348,-5.702744,-11.033808,-9.680521,-6.823153,-14.862034,-18.781334,-4.654298,-7.858090,-11.484206,-3.980771,-17.175469,-13.551309,-14.837423,-8.054989,-6.926635,-6.146080,-13.695987,-10.157349,-21.449754,-15.389104,-15.426429,-20.643457,-22.381742,-9.757652
0.730159,-14.079828,-18.608075,-21.044218,-17.004356,-13.476176,-6.849796,-4.569570,-6.635006,-12.860054,-8.404494,-0.021643,-5.014429,-3.782981,-4.885138,-13.425225,-8.801907,-7.100197,-11.117151,-19.829874,-6.787987,-9.369011,-7.892344,-5.617789,-16.730786,-14.176580,-15.270516,-10.194072,-9.646335,-6.038662,-14.742399,-10.068107,-24.222234,-15.082149,-19.676671,-20.268556,-21.902763,-8.914320
0.746032,-13.792502,-25.876172,-22.272305,-18.070136,-14.247607,-5.350455,-5.939442,-8.322869,-15.074852,-11.452101,-2.311963,-5.480046,-10.432117,-4.480377,-15.073515,-9.906565,-9.204449,-10.365492,-18.176806,-6.597148,-13.168715,-6.589763,-6.154826,-17.260716,-13.762602,-16.273669,-12.124177,-8.019618,-7.625754,-15.674914,-9.989374,-31.768277,-17.544512,-22.679628,-20.958474,-21.918173,-9.996518
0.761905,-17.552147,-24.955166,-17.698499,-25.492737,-15.168944,-5.500533,-6.729924,-10.197098,-15.482745,-12.739807,-2.070381,-6.321921,-7.029220,-5.369199,-14.841466,-11.920580,-10.487485,-9.938905,-16.509271,-7.414080,-16.367819,-7.159410,-9.942305,-17.323226,-14.596660,-14.774516,-11.813880,-7.730081,-10.893661,-18.967001,-11.283885,-34.770424,-18.335630,-20.926434,-21.491836,-22.001183,-10.908719
0.777778,-21.836730,-25.430647,-15.554709,-26.725748,-16.138829,-6.821410,-11.610192,-12.644948,-19.011360,-19.605949,-2.988226,-6.827018,-6.146165,-5.270878,-15.222134,-18.122515,-16.599652,-13.921792,-17.648248,-8.013851,-16.259367,-9.712361,-11.651253,-20.149080,-13.686648,-14.380598,-10.137598,-9.380066,-16.092363,-22.311214,-21.651473,-36.418873,-19.153793,-21.825178,-26.001669,-22.829171,-17.486049
0.793651,-23.763042,-27.474462,-15.229124,-24.166527,-17.152242,-10.925676,-16.627966,-13.147300,-16.197292,-20.476685,-6.239189,-8.126048,-6.137356,-5.285397,-15.406252,-18.487161,-16.516521,-15.777564,-20.603821,-8.266674,-14.276557,-13.225533,-8.657038,-20.684920,-13.439247,-16.002396,-8.860692,-14.053761,-19.280864,-25.325187,-23.568911,-32.827752,-25.618689,-23.061850,-30.818764,-23.952290,-16.307121
0.809524,-26.008662,-31.326831,-15.224085,-20.199800,-16.130450,-13.357611,-18.088871,-17.739553,-13.920346,-21.592269,-5.976505,-3.593486,-6.073769,-5.272761,-16.417154,-20.939485,-19.671470,-17.950672,-20.714152,-12.013479,-15.681577,-12.087525,-8.608529,-22.048323,-15.431135,-16.133695,-9.201993,-19.846721,-19.591636,-25.079947,-25.743887,-32.761619,-30.026261,-22.503130,-36.206023,-26.256933,-15.733099
0.825397,-30.554760,-35.013959,-15.979680,-20.358911,-17.770718,-15.489415,-24.675710,-16.893831,-11.576953,-15.980119,-7.213209,-2.243902,-6.396488,-6.338681,-21.616236,-19.724779,-20.089974,-21.152997,-25.331711,-11.580218,-15.366043,-11.949312,-8.728583,-24.527339,-16.420438,-22.440787,-11.495328,-18.999698,-19.082739,-25.098269,-26.031821,-32.879885,-34.952499,-26.344837,-41.360694,-27.890803,-15.475034
0.841270,-41.540617,-35.733047,-21.739701,-20.070804,-18.097341,-13.839453,-24.648962,-17.607939,-10.377261,-16.188406,-8.631023,-1.644134,-6.804570,-8.906120,-21.659470,-16.224198,-16.462162,-22.321849,-20.612853,-11.030242,-14.677280,-12.717319,-10.490759,-27.371909,-16.298784,-21.732798,-15.663197,-18.924834,-15.592968,-25.726582,-26.289883,-36.195514,-38.772534,-26.682636,-45.235809,-33.534068,-16.071379
0.857143,-47.099225,-37.955381,-32.439283,-19.445173,-21.499218,-14.846681,-23.008260,-18.561391,-10.862717,-15.125384,-11.033668,-1.316336,-7.754725,-9.612301,-20.903824,-14.430311,-16.550721,-24.243993,-19.392836,-10.597438,-12.801189,-15.106959,-14.849605,-28.397006,-16.840746,-24.712726,-18.760950,-19.224706,-14.786234,-28.598194,-23.218612,-44.327775,-39.250943,-24.028994,-47.915998,-38.982167,-18.576697
0.873016,-55.695903,-43.503305,-32.501158,-20.847116,-23.983678,-15.835763,-21.735448,-16.211807,-11.567511,-18.054812,-11.167179,-1.464318,-9.251651,-10.114696,-18.653745,-16.634444,-16.176337,-27.053075,-16.771323,-11.086963,-13.150544,-14.247417,-15.901646,-33.463315,-16.889291,-20.939745,-20.282750,-17.034320,-15.020372,-29.854845,-21.477668,-51.520705,-40.927777,-24.540084,-48.903715,-46.557938,-20.688016
0.888889,-66.649249,-47.928484,-33.482500,-21.121586,-24.389334,-19.781217,-21.039905,-14.906554,-14.324074,-18.286396,-14.428601,-5.605168,-8.786812,-9.970592,-18.847741,-18.683582,-17.076032,-32.534973,-16.472938,-12.512961,-16.288870,-13.818643,-15.190461,-34.153832,-16.760313,-20.431851,-29.443506,-17.439728,-16.112560,-34.552794,-21.922254,-48.763620,-42.586374,-24.589599,-50.069834,-46.285253,-23.326572
0.904762,-67.323345,-50.524058,-34.375087,-22.048491,-23.959328,-23.234533,-19.271899,-15.004980,-17.995439,-19.428429,-15.512634,-6.245691,-7.660536,-10.307936,-20.096883,-21.852739,-21.461821,-31.631196,-17.051981,-15.690503,-21.226151,-13.789231,-12.547209,-36.777758,-17.518561,-19.005733,-29.621613,-16.351298,-17.316943,-37.524395,-22.065208,-47.641467,-44.636586,-25.195858,-50.602879,-46.111571,-26.778256
0.920635,-67.301792,-51.970979,-37.226219,-28.606334,-25.344256,-24.560685,-19.493884,-15.268947,-22.146244,-21.172364,-17.030147,-9.075143,-7.042152,-11.634468,-21.737354,-22.218076,-23.154965,-29.866257,-19.032691,-15.248729,-22.268732,-17.605236,-11.840575,-33.148409,-20.231514,-17.576069,-24.612160,-18.185537,-17.998304,-41.209999,-23.422907,-47.819503,-46.784522,-33.813291,-50.457179,-46.651686,-30.241674
0.936508,-67.216633,-51.948736,-39.655419,-32.690954,-26.802058,-31.876759,-20.696618,-20.363678,-25.466569,-22.815700,-17.859236,-10.416781,-7.524227,-12.520238,-29.665541,-26.890312,-26.855848,-31.178208,-21.969266,-17.212882,-24.864603,-21.132453,-9.243388,-31.149468,-16.402362,-19.065919,-22.746251,-18.942464,-17.750201,-43.299281,-25.965859,-49.535879,-47.055215,-40.005494,-50.893397,-47.805194,-30.945463
0.952381,-59.155328,-52.271009,-41.947759,-34.840275,-26.975598,-43.661382,-21.607757,-24.011097,-26.861817,-23.956842,-18.100066,-11.068933,-7.241226,-14.234083,-28.278369,-24.107731,-26.943987,-30.793693,-27.897225,-17.701230,-23.595496,-23.523324,-8.637416,-30.346855,-14.063745,-19.053202,-21.274621,-18.715039,-19.067425,-45.598235,-26.728585,-52.860859,-46.784522,-36.751044,-50.926298,-48.349339,-29.639771
0.968254,-53.251381,-51.893621,-45.293018,-43.416664,-31.420205,-44.541926,-27.967889,-29.081000,-28.539835,-25.077948,-18.310612,-10.919917,-6.105807,-12.671307,-24.832927,-22.129353,-26.948568,-31.126102,-21.620242,-22.089951,-21.957668,-25.241746,-9.044081,-29.987974,-14.016265,-21.717899,-22.585550,-11.141964,-16.807668,-50.391875,-29.110699,-52.895123,-46.872892,-33.178925,-47.204274,-48.732938,-28.346450
0.984127,-50.174441,-52.078217,-45.119192,-54.142327,-39.004009,-47.754787,-39.784355,-36.524729,-35.861884,-24.698620,-17.070661,-9.118120,-5.649164,-10.950881,-22.771478,-21.505731,-27.119884,-31.474562,-20.338961,-23.939609,-22.412806,-21.923615,-9.860395,-30.282950,-13.930638,-24.662161,-25.035983,-8.565766,-16.766469,-51.884164,-32.040271,-53.179426,-46.687839,-32.896246,-46.807158,-48.654496,-28.781053
1.000000,-49.232608,-51.937657,-45.245694,-54.836767,-47.795403,-52.394077,-45.086831,-36.630178,-38.401253,-23.949951,-16.894486,-8.917085,-6.466023,-11.298497,-21.928422,-26.498711,-28.274538,-33.044188,-20.167400,-25.409260,-22.725875,-20.603211,-12.918168,-32.246333,-14.151578,-25.298458,-33.055178,-7.130497,-17.053232,-56.343453,-36.788661,-53.439560,-46.344478,-33.629112,-46.754181,-48.582540,-29.223068
