source_wav,records\1782605969288_blow-normal\1782605969288_blow-normal.wav
sample_rate_hz,16000
window_size_samples,2048
window_duration_ms,128.0
search_radius_ms,120.0
requested_times_s,2.10000;3.56000;4.75000
peak_times_s,2.11587;3.54844;4.70981

frequency_hz,blow_1_requested_2.10s_peak_2.11587s_dbfs,blow_2_requested_3.56s_peak_3.54844s_dbfs,blow_3_requested_4.75s_peak_4.70981s_dbfs,mean_dbfs
0.000000,-46.876042,-65.637238,-73.342778,-61.952019
7.812500,-49.817042,-63.937702,-75.458466,-63.071070
15.625000,-55.695150,-66.152793,-74.242636,-65.363527
23.437500,-62.744239,-61.708741,-67.131971,-63.861650
31.250000,-62.550560,-57.679995,-63.865715,-61.365423
39.062500,-46.310882,-61.729111,-64.315544,-57.451846
46.875000,-47.235492,-60.550434,-65.721081,-57.835669
54.687500,-41.537273,-54.407849,-65.779912,-53.908345
62.500000,-35.726778,-49.167136,-65.458973,-50.117629
70.312500,-36.597643,-51.889605,-56.789661,-48.425636
78.125000,-39.234629,-53.234312,-53.573179,-48.680707
85.937500,-58.989734,-48.721259,-54.362369,-54.024454
93.750000,-32.870850,-44.130106,-55.608847,-44.203268
101.562500,-31.753115,-46.732187,-56.966236,-45.150513
109.375000,-40.742466,-45.813571,-60.398276,-48.984771
117.187500,-41.929849,-45.750140,-55.438517,-47.706169
125.000000,-32.877456,-42.408834,-52.007714,-42.431335
132.812500,-32.727482,-42.412338,-51.026761,-42.055527
140.625000,-40.101268,-52.727944,-51.661340,-48.163517
148.437500,-44.269264,-47.195985,-51.514152,-47.659800
156.250000,-39.800817,-43.119519,-50.359322,-44.426553
164.062500,-37.454648,-43.133936,-49.349116,-43.312567
171.875000,-29.247506,-44.124257,-48.604962,-40.658908
179.687500,-28.961481,-45.586377,-49.399732,-41.315864
187.500000,-31.077434,-48.247425,-51.506462,-43.610440
195.312500,-28.122523,-75.217054,-51.953422,-51.764333
203.125000,-28.802200,-50.351550,-51.656051,-43.603267
210.937500,-29.347260,-47.639615,-53.630115,-43.538997
218.750000,-28.664540,-46.916620,-56.361194,-43.980785
226.562500,-28.631186,-50.676711,-57.840221,-45.716040
234.375000,-30.732189,-56.993187,-60.351361,-49.358913
242.187500,-31.154348,-55.120208,-62.603484,-49.626014
250.000000,-28.222062,-49.385395,-64.227390,-47.278283
257.812500,-27.768273,-51.131583,-67.439467,-48.779774
265.625000,-31.515678,-61.687075,-70.408409,-54.537054
273.437500,-37.043893,-61.864453,-70.416165,-56.441504
281.250000,-44.604516,-53.120795,-68.930546,-55.551952
289.062500,-37.303925,-48.808032,-67.359117,-51.157025
296.875000,-36.165832,-51.512332,-65.423234,-51.033799
304.687500,-52.196057,-50.908872,-63.670307,-55.591745
312.500000,-41.170921,-52.435907,-62.705839,-52.104222
320.312500,-37.477450,-59.211607,-62.567078,-53.085378
328.125000,-38.326443,-64.034834,-62.458411,-54.939896
335.937500,-39.608491,-56.979610,-62.573372,-53.053824
343.750000,-52.089253,-57.652566,-63.418406,-57.720075
351.562500,-43.892995,-61.424996,-64.380765,-56.566252
359.375000,-38.029648,-61.091777,-65.135703,-54.752376
367.187500,-41.442570,-63.377048,-65.991243,-56.936954
375.000000,-45.809010,-77.364112,-67.075181,-63.416101
382.812500,-35.179154,-63.968783,-67.718985,-55.622307
390.625000,-35.654650,-61.770511,-68.759905,-55.395022
398.437500,-38.745651,-61.116365,-70.986765,-56.949594
406.250000,-43.258506,-62.178501,-73.741344,-59.726117
414.062500,-48.657599,-59.901203,-75.960665,-61.506489
421.875000,-45.342904,-58.539650,-77.410883,-60.431146
429.687500,-40.628831,-58.015904,-80.911823,-59.852186
437.500000,-43.016197,-57.355133,-86.761372,-62.377567
445.312500,-51.652948,-60.450804,-94.934057,-69.012603
453.125000,-45.174460,-66.136852,-101.625153,-70.978822
460.937500,-48.676173,-68.142140,-88.342445,-68.386919
468.750000,-57.024964,-69.284057,-91.705598,-72.671540
476.562500,-54.694005,-68.124838,-83.510466,-68.776436
484.375000,-60.860340,-79.259526,-81.466418,-73.862095
492.187500,-45.134925,-65.058102,-86.322005,-65.505010
500.000000,-43.650046,-63.592801,-92.934403,-66.725750
507.812500,-55.308729,-63.206122,-88.804134,-69.106328
515.625000,-52.897842,-65.837549,-80.985018,-66.573470
523.437500,-51.461580,-65.727112,-75.323111,-64.170601
531.250000,-49.578499,-66.291461,-76.645890,-64.171950
539.062500,-58.033972,-74.023120,-80.349293,-70.802129
546.875000,-54.560611,-68.905672,-79.487200,-67.651161
554.687500,-48.654684,-77.067159,-95.817765,-73.846536
562.500000,-47.309940,-80.208253,-81.275806,-69.598000
570.312500,-49.391754,-69.312358,-81.088061,-66.597391
578.125000,-54.773193,-65.584911,-94.857109,-71.738404
585.937500,-58.662164,-69.966727,-89.150578,-72.593156
593.750000,-53.647751,-69.390475,-81.778112,-68.272113
601.562500,-49.777502,-73.303616,-77.282403,-66.787841
609.375000,-47.297878,-72.850405,-78.251141,-66.133141
617.187500,-48.295508,-74.053434,-87.741808,-70.030250
625.000000,-52.830217,-75.744429,-82.597750,-70.390799
632.812500,-54.630861,-79.340178,-82.056262,-72.009100
640.625000,-54.625982,-86.581820,-87.085341,-76.097714
648.437500,-56.352525,-83.611089,-101.528212,-80.497275
656.250000,-50.169114,-77.655149,-87.379725,-71.734663
664.062500,-45.146926,-80.197954,-87.599310,-70.981397
671.875000,-44.004933,-74.252662,-91.304272,-69.853955
679.687500,-45.088049,-76.782231,-94.021658,-71.963980
687.500000,-46.040846,-76.943296,-91.185004,-71.389715
695.312500,-47.813267,-79.265132,-94.083121,-73.720507
703.125000,-47.165917,-79.632352,-101.158345,-75.985538
710.937500,-46.700161,-82.144812,-95.896590,-74.913854
718.750000,-49.532452,-80.041421,-99.124527,-76.232800
726.562500,-51.131049,-77.443661,-96.141986,-74.905565
734.375000,-50.794983,-82.699650,-99.917219,-77.803951
742.187500,-51.157693,-81.145546,-100.396920,-77.566720
750.000000,-51.402427,-78.298101,-95.001024,-74.900517
757.812500,-48.798310,-81.815014,-96.857653,-75.823659
765.625000,-47.889708,-87.961384,-95.757706,-77.202933
773.437500,-49.535243,-97.501060,-94.128449,-80.388251
781.250000,-48.899130,-85.733774,-93.543466,-76.058790
789.062500,-47.309180,-83.193109,-92.440537,-74.314275
796.875000,-46.325511,-82.906112,-92.663321,-73.964981
804.687500,-47.271691,-82.388828,-94.242489,-74.634336
812.500000,-48.805320,-83.792478,-93.647808,-75.415202
820.312500,-47.893062,-86.452638,-90.581145,-74.975615
828.125000,-47.812621,-85.468567,-88.733297,-74.004828
835.937500,-47.543310,-85.556800,-88.440955,-73.847022
843.750000,-48.554442,-86.940902,-89.317640,-74.937662
851.562500,-51.754345,-119.533738,-90.715926,-87.334670
859.375000,-54.395095,-89.427236,-92.739733,-78.854021
867.187500,-55.814845,-96.258943,-92.629403,-81.567730
875.000000,-55.395436,-83.180186,-92.649866,-77.075163
882.812500,-53.618807,-80.444764,-94.559955,-76.207842
890.625000,-53.461260,-82.880959,-93.546454,-76.629558
898.437500,-54.549535,-82.267845,-91.133719,-75.983700
906.250000,-57.418427,-78.371289,-89.669605,-75.153107
914.062500,-66.480308,-76.852074,-88.907855,-77.413412
921.875000,-57.517619,-81.148871,-89.315946,-75.994146
929.687500,-51.965842,-83.994330,-89.482512,-75.147561
937.500000,-50.763763,-82.959359,-87.845022,-73.856048
945.312500,-53.287497,-79.827084,-86.602655,-73.239078
953.125000,-58.462549,-76.200371,-89.437418,-74.700113
960.937500,-57.315673,-77.374433,-107.695115,-80.795074
968.750000,-55.291401,-79.100389,-91.122044,-75.171278
976.562500,-55.082267,-76.304901,-87.674881,-73.020683
984.375000,-53.616250,-72.010322,-85.139646,-70.255406
992.187500,-52.262900,-73.209271,-86.393801,-70.621991
1000.000000,-53.617332,-79.753820,-89.443805,-74.271652
1007.812500,-61.050846,-90.557365,-93.727847,-81.778686
1015.625000,-59.214678,-80.483805,-97.181557,-78.960013
1023.437500,-55.759710,-79.500875,-85.388316,-73.549634
1031.250000,-54.166377,-83.674065,-84.797321,-74.212588
1039.062500,-52.372849,-89.232454,-87.950303,-76.518535
1046.875000,-51.679104,-84.058427,-90.917630,-75.551721
1054.687500,-52.204658,-81.828328,-93.023207,-75.685398
1062.500000,-54.225063,-74.754777,-92.589209,-73.856349
1070.312500,-58.949825,-76.780227,-90.466924,-75.398992
1078.125000,-65.194096,-92.698350,-89.696427,-82.529625
1085.937500,-58.258500,-87.716093,-85.376090,-77.116894
1093.750000,-52.847464,-96.051603,-82.429102,-77.109390
1101.562500,-49.679860,-81.855806,-82.130119,-71.221928
1109.375000,-48.899992,-75.605236,-84.187826,-69.564351
1117.187500,-50.297404,-75.012203,-87.147048,-70.818885
1125.000000,-53.251207,-77.694978,-90.237203,-73.727796
1132.812500,-57.086379,-79.581837,-96.435882,-77.701366
1140.625000,-57.563668,-75.836226,-94.069351,-75.823082
1148.437500,-53.680954,-74.751579,-87.472496,-71.968343
1156.250000,-51.231311,-79.772578,-87.569520,-72.857803
1164.062500,-50.312225,-82.986284,-89.690922,-74.329810
1171.875000,-50.346398,-78.611993,-97.305571,-75.421321
1179.687500,-51.849838,-81.176177,-98.606383,-77.210799
1187.500000,-54.095557,-78.112354,-102.044658,-78.084190
1195.312500,-55.419067,-80.080095,-96.511456,-77.336873
1203.125000,-55.169859,-86.017622,-94.106300,-78.431260
1210.937500,-53.230006,-81.602152,-91.372290,-75.401483
1218.750000,-51.887862,-75.170295,-90.275839,-72.444665
1226.562500,-51.953568,-76.955763,-88.761238,-72.556856
1234.375000,-53.377277,-90.389144,-83.531987,-75.766136
1242.187500,-55.577406,-79.161742,-80.245604,-71.661584
1250.000000,-57.998312,-77.531235,-80.876718,-72.135421
1257.812500,-58.988953,-83.146160,-85.678385,-75.937833
1265.625000,-57.297255,-87.423023,-83.428940,-76.049739
1273.437500,-58.126028,-80.269175,-78.089607,-72.161603
1281.250000,-60.268175,-78.340921,-72.906085,-70.505060
1289.062500,-61.439066,-81.829239,-72.327254,-71.865186
1296.875000,-64.189571,-91.033177,-80.364118,-78.528955
1304.687500,-71.551378,-80.596242,-80.728520,-77.625380
1312.500000,-73.558055,-82.591067,-80.699942,-78.949688
1320.312500,-66.373977,-81.046588,-81.160338,-76.193634
1328.125000,-64.993763,-76.170178,-78.585149,-73.249697
1335.937500,-64.569568,-80.389715,-79.445047,-74.801443
1343.750000,-62.288713,-99.483259,-83.883339,-81.885104
1351.562500,-61.963549,-85.350482,-80.496896,-75.936976
1359.375000,-61.671894,-75.652495,-78.262988,-71.862459
1367.187500,-63.925678,-74.917726,-76.494470,-71.779291
1375.000000,-64.639168,-80.685764,-77.213481,-74.179471
1382.812500,-63.237159,-78.895673,-77.258613,-73.130482
1390.625000,-64.014424,-92.208745,-77.534019,-77.919062
1398.437500,-67.226846,-77.356662,-86.773221,-77.118910
1406.250000,-65.703585,-74.209886,-87.882270,-75.931914
1414.062500,-68.922840,-77.071696,-81.589536,-75.861358
1421.875000,-77.459523,-80.857211,-81.561290,-79.959341
1429.687500,-98.565427,-81.227929,-83.799581,-87.864312
1437.500000,-75.887817,-88.062812,-83.696042,-82.548890
1445.312500,-73.571568,-79.090175,-84.039885,-78.900543
1453.125000,-71.621249,-73.037434,-86.888677,-77.182453
1460.937500,-67.797193,-74.121139,-88.226867,-76.715067
1468.750000,-75.346391,-74.249964,-82.249390,-77.281915
1476.562500,-70.901230,-74.216287,-78.337805,-74.485107
1484.375000,-63.317801,-74.104119,-79.249967,-72.223963
1492.187500,-61.473675,-74.194366,-84.482856,-73.383632
1500.000000,-61.955586,-75.731424,-86.303521,-74.663511
1507.812500,-62.714646,-91.067039,-84.265533,-79.349073
1515.625000,-64.550938,-81.049855,-80.400597,-75.333797
1523.437500,-70.058241,-82.319839,-78.929961,-77.102680
1531.250000,-80.236813,-95.988612,-81.133442,-85.786289
1539.062500,-74.835286,-83.711622,-86.586364,-81.711090
1546.875000,-67.745255,-80.746044,-89.545075,-79.345458
1554.687500,-65.441291,-81.122834,-79.609031,-75.391052
1562.500000,-63.523111,-89.039969,-78.968621,-77.177233
1570.312500,-68.361660,-84.914185,-83.131449,-78.802432
1578.125000,-70.481738,-75.595405,-86.393633,-77.490259
1585.937500,-66.182073,-77.783958,-84.756250,-76.240760
1593.750000,-69.139338,-88.470583,-84.474134,-80.694685
1601.562500,-67.405543,-86.955619,-86.895967,-80.419043
1609.375000,-63.771745,-83.653978,-96.663060,-81.362927
1617.187500,-63.289843,-79.042989,-87.528307,-76.620380
1625.000000,-65.858524,-83.683559,-83.000198,-77.514094
1632.812500,-67.422515,-81.293245,-83.364693,-77.360151
1640.625000,-66.403254,-73.892833,-82.747322,-74.347803
1648.437500,-70.026387,-75.912285,-84.995619,-76.978097
1656.250000,-64.720443,-82.813954,-92.295361,-79.943253
1664.062500,-64.253409,-75.219858,-86.226476,-75.233248
1671.875000,-68.013741,-72.615846,-84.000170,-74.876586
1679.687500,-65.993958,-68.989931,-87.488673,-74.157521
1687.500000,-68.140111,-67.947569,-87.267994,-74.451891
1695.312500,-68.437604,-71.353276,-81.031387,-73.607422
1703.125000,-68.221617,-78.250167,-80.902211,-75.791332
1710.937500,-68.458697,-84.897544,-83.532550,-78.962930
1718.750000,-64.375004,-82.834787,-84.706906,-77.305566
1726.562500,-66.702594,-77.459179,-92.322539,-78.828104
1734.375000,-75.367311,-78.092596,-92.085037,-81.848315
1742.187500,-63.621259,-83.456003,-87.195560,-78.090941
1750.000000,-62.134690,-73.010928,-85.878877,-73.674831
1757.812500,-68.811884,-78.190760,-92.625230,-79.875958
1765.625000,-75.386407,-75.319942,-82.968590,-77.891646
1773.437500,-66.352015,-71.950375,-79.095277,-72.465889
1781.250000,-63.917491,-76.081501,-81.836575,-73.945189
1789.062500,-67.504622,-80.899349,-85.171771,-77.858581
1796.875000,-82.763423,-77.085256,-81.196423,-80.348367
1804.687500,-67.514249,-84.754506,-80.176588,-77.481781
1812.500000,-65.553404,-79.795452,-81.718121,-75.688992
1820.312500,-71.307412,-75.338774,-82.982106,-76.542764
1828.125000,-69.568646,-88.024653,-82.719765,-80.104355
1835.937500,-63.624500,-82.833200,-85.728831,-77.395510
1843.750000,-65.651794,-80.324294,-88.030341,-78.002143
1851.562500,-74.233007,-78.765389,-84.874421,-79.290939
1859.375000,-77.151368,-81.081605,-80.632669,-79.621881
1867.187500,-73.351274,-86.807393,-81.685289,-80.614652
1875.000000,-78.357892,-86.623399,-82.906424,-82.629238
1882.812500,-63.575889,-82.492014,-83.380491,-76.482798
1890.625000,-62.634575,-86.851128,-86.315519,-78.600407
1898.437500,-69.351089,-74.986955,-87.895927,-77.411323
1906.250000,-75.326277,-74.483391,-86.060522,-78.623397
1914.062500,-68.212362,-79.763143,-85.870968,-77.948825
1921.875000,-68.679421,-82.534784,-87.731865,-79.648690
1929.687500,-72.818772,-80.516178,-87.910778,-80.415243
1937.500000,-89.881558,-85.112916,-86.402449,-87.132308
1945.312500,-74.554231,-93.725408,-89.899461,-86.059700
1953.125000,-77.535903,-84.003408,-95.029266,-85.522859
1960.937500,-92.752663,-84.320099,-100.605519,-92.559427
1968.750000,-72.267295,-84.176651,-94.282267,-83.575404
1976.562500,-70.742795,-88.659079,-92.562439,-83.988104
1984.375000,-76.629124,-83.164021,-89.404802,-83.065982
1992.187500,-78.590406,-82.313519,-85.109313,-82.004413
2000.000000,-73.052917,-90.773552,-83.305520,-82.377330
2007.812500,-68.484590,-86.279356,-86.741375,-80.501774
2015.625000,-67.771250,-86.680471,-94.885162,-83.112294
2023.437500,-71.852666,-86.915993,-90.234927,-83.001195
2031.250000,-77.186494,-93.250477,-88.376998,-86.271323
2039.062500,-76.131619,-105.558067,-92.385178,-91.358288
2046.875000,-77.184946,-85.658519,-83.131572,-81.991679
2054.687500,-81.471614,-86.821078,-86.063500,-84.785397
2062.500000,-76.859042,-81.154397,-90.921818,-82.978419
2070.312500,-77.282721,-81.841910,-85.714924,-81.613185
2078.125000,-77.627077,-92.834489,-82.612855,-84.358141
2085.937500,-72.609393,-87.518962,-84.072115,-81.400157
2093.750000,-71.653449,-89.148327,-91.710408,-84.170728
2101.562500,-74.532056,-87.355519,-98.362072,-86.749882
2109.375000,-82.770631,-84.121291,-93.920290,-86.937404
2117.187500,-76.879309,-84.009124,-100.814879,-87.234437
2125.000000,-75.423752,-80.157900,-97.293378,-84.291677
2132.812500,-80.523791,-78.993030,-105.639529,-88.385450
2140.625000,-74.601883,-78.421219,-90.470282,-81.164461
2148.437500,-70.171327,-81.617902,-90.388301,-80.725843
2156.250000,-69.039654,-86.736828,-88.818400,-81.531627
2164.062500,-70.053858,-85.088925,-85.631718,-80.258167
2171.875000,-72.938406,-86.374946,-85.388240,-81.567197
2179.687500,-77.401243,-92.483834,-86.365147,-85.416741
2187.500000,-78.290886,-87.612088,-87.077855,-84.326943
2195.312500,-71.902009,-79.573998,-96.174631,-82.550213
2203.125000,-71.344532,-77.197870,-91.080012,-79.874138
2210.937500,-74.706222,-80.725072,-101.898447,-85.776580
2218.750000,-73.789458,-93.397165,-86.188083,-84.458235
2226.562500,-73.986302,-90.072405,-86.373999,-83.477568
2234.375000,-78.067971,-94.665331,-119.191696,-97.308333
2242.187500,-78.663188,-89.776439,-89.097121,-85.845582
2250.000000,-79.059095,-85.013035,-85.945733,-83.339287
2257.812500,-76.461771,-86.383256,-86.778793,-83.207940
2265.625000,-75.740719,-95.668821,-89.620256,-87.009932
2273.437500,-77.423041,-101.291309,-93.861214,-90.858522
2281.250000,-79.785513,-93.387363,-85.804855,-86.325911
2289.062500,-79.500686,-88.607512,-83.280275,-83.796158
2296.875000,-86.339920,-86.283068,-86.412571,-86.345186
2304.687500,-78.900189,-84.529222,-85.826831,-83.085414
2312.500000,-76.766333,-85.096965,-83.399522,-81.754273
2320.312500,-78.180440,-85.254083,-89.578938,-84.337820
2328.125000,-84.513507,-77.080758,-82.776627,-81.456964
2335.937500,-86.587100,-79.614031,-79.522105,-81.907745
2343.750000,-82.054444,-84.994177,-79.360665,-82.136428
2351.562500,-79.409988,-79.345983,-79.806205,-79.520725
2359.375000,-76.738912,-78.007061,-83.175450,-79.307141
2367.187500,-82.939845,-79.800238,-89.961348,-84.233811
2375.000000,-73.615472,-80.526857,-96.411673,-83.518001
2382.812500,-75.633429,-79.128466,-90.864833,-81.875576
2390.625000,-79.612828,-76.397172,-84.868565,-80.292855
2398.437500,-78.282304,-76.827835,-83.728072,-79.612737
2406.250000,-78.683253,-82.000901,-84.245126,-81.643093
2414.062500,-79.392993,-87.967561,-93.398717,-86.919757
2421.875000,-75.014961,-83.553431,-89.800281,-82.789558
2429.687500,-73.743345,-81.317574,-84.678281,-79.913067
2437.500000,-75.541122,-96.318520,-82.604657,-84.821433
2445.312500,-73.983007,-78.716118,-84.895184,-79.198103
2453.125000,-74.464889,-76.053089,-86.123077,-78.880352
2460.937500,-77.815318,-80.013725,-81.701042,-79.843362
2468.750000,-76.899742,-84.031343,-82.831348,-81.254144
2476.562500,-76.389764,-93.105860,-85.250606,-84.915410
2484.375000,-74.016291,-88.024127,-84.766985,-82.269134
2492.187500,-74.756111,-88.236310,-82.761311,-81.917910
2500.000000,-82.808749,-83.797350,-81.842375,-82.816158
2507.812500,-73.140751,-77.257938,-89.840275,-80.079655
2515.625000,-73.397896,-79.633054,-93.451947,-82.160966
2523.437500,-84.507081,-85.868025,-84.721973,-85.032359
2531.250000,-91.797748,-90.422723,-87.653950,-89.958140
2539.062500,-78.118942,-85.356335,-90.443892,-84.639723
2546.875000,-71.028736,-87.008364,-85.711570,-81.249557
2554.687500,-73.184649,-87.639556,-87.492986,-82.772397
2562.500000,-88.910966,-91.639267,-86.338363,-88.962865
2570.312500,-85.719826,-112.714356,-84.480915,-94.305032
2578.125000,-76.622865,-83.972803,-81.425787,-80.673818
2585.937500,-74.002924,-81.804714,-84.264695,-80.024111
2593.750000,-74.301587,-88.437660,-85.708443,-82.815897
2601.562500,-72.777053,-86.605463,-83.310954,-80.897823
2609.375000,-71.060267,-85.323597,-88.258446,-81.547437
2617.187500,-74.438411,-87.152780,-86.178800,-82.589997
2625.000000,-79.789278,-86.659081,-87.469340,-84.639233
2632.812500,-78.611162,-91.477791,-102.919089,-91.002681
2640.625000,-77.159253,-86.635693,-91.296875,-85.030607
2648.437500,-76.141514,-80.582600,-88.623694,-81.782603
